Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
13-Nov-23,EQ,291.7,292.2,289,291.2,291,290.55,290.49,335,229.05,"71,182","2,06,77,861.50","3,258"
12-Nov-23,EQ,291,291.95,288.8,288,291.65,291.2,290.75,335,229.05,"43,457","1,26,34,960.55","1,686"
10-Nov-23,EQ,284,288.75,283.1,284.5,288.75,288,286.62,335,229.05,"1,10,954","3,18,01,810.25","3,174"
09-Nov-23,EQ,288.7,288.9,283.5,287,284,284.5,285.04,335,229.05,"1,45,109","4,13,61,241.35","5,954"
08-Nov-23,EQ,291.7,292.2,284.65,291.7,287.7,287,286.52,335,229.05,"3,16,790","9,07,65,511.20","12,151"
07-Nov-23,EQ,294.95,296,290.1,293.85,290.1,291.7,293.41,335,229.05,"1,97,640","5,79,89,554.75","6,865"
06-Nov-23,EQ,298.5,298.65,293,296,294,293.85,294.09,335,229.05,"2,11,336","6,21,51,675.50","10,272"
03-Nov-23,EQ,298.6,300.95,295.2,295.4,295.9,296,296.48,335,229.05,"94,202","2,79,29,219.75","4,498"
02-Nov-23,EQ,299.5,300.55,294.7,298,295.75,295.4,297.07,335,229.05,"90,220","2,68,01,961.15","4,720"
01-Nov-23,EQ,297,300.95,295.7,299.6,297,298,298.23,335,229.05,"1,30,010","3,87,72,270.00","5,126"
31-Oct-23,EQ,304.5,308.85,296.4,303.05,297.55,299.6,302.6,335,229.05,"8,70,159","26,33,06,419.60","21,572"
30-Oct-23,EQ,307.1,308,296.5,307.1,303,303.05,300.46,335,229.05,"2,11,146","6,34,39,990.25","9,513"
27-Oct-23,EQ,299.5,307.9,299.5,299.05,306.55,307.1,304.93,335,229.05,"1,07,375","3,27,41,774.40","6,741"
26-Oct-23,EQ,299,300.55,290.75,299.6,299.9,299.05,295.37,335,229.05,"1,45,560","4,29,94,681.40","13,519"
25-Oct-23,EQ,295,301.8,294.05,297.5,300.95,299.6,298.59,335,229.05,"1,40,532","4,19,61,209.75","8,456"
23-Oct-23,EQ,310.05,310.05,295,308.5,297.8,297.5,303.51,335,229.05,"1,48,596","4,51,00,820.60","11,005"
20-Oct-23,EQ,304,310,303.6,304.35,308.05,308.5,307.78,335,229.05,"2,30,427","7,09,20,800.10","8,761"
19-Oct-23,EQ,299.65,313.5,297.3,299.7,304.1,304.35,306.95,335,229.05,"7,56,366","23,21,69,536.05","31,244"
18-Oct-23,EQ,304,305.55,284,305.1,300.6,299.7,299.85,335,229.05,"4,06,892","12,20,06,291.45","15,962"
17-Oct-23,EQ,302.05,306.6,300.95,301,305.9,305.1,303.56,335,229.05,"2,55,589","7,75,86,609.40","9,642"
16-Oct-23,EQ,299.8,306.85,296.1,299.9,301.1,301,302.78,335,229.05,"3,60,721","10,92,19,555.40","17,722"
