Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
15-Apr-24,EQ,633,644.5,625.1,644.5,633.05,639.45,636.77,849.5,500.1,"1,13,390","7,22,03,132.25","10,759"
12-Apr-24,EQ,647,654.5,641,644.15,646,644.5,648.87,849.5,461,"1,10,378","7,16,20,966.55","8,721"
10-Apr-24,EQ,654.9,655.75,639.05,647.95,644.5,644.15,643.67,849.5,461,"82,980","5,34,11,570.05","7,685"
09-Apr-24,EQ,646,657.9,643.85,644.1,648.9,647.95,650.96,849.5,461,"80,281","5,22,59,346.90","8,296"
08-Apr-24,EQ,667.8,667.8,640.6,657.85,644,644.1,648.11,849.5,461,"1,67,565","10,86,00,270.55","15,975"
05-Apr-24,EQ,671.5,672,646.5,668.15,657.5,657.85,660.31,849.5,461,"1,26,621","8,36,09,091.40","11,274"
04-Apr-24,EQ,655,678,655,645.05,666.15,668.15,666.96,849.5,461,"3,37,575","22,51,48,028.85","22,574"
03-Apr-24,EQ,656.55,664.65,639.35,654.15,650,645.05,653.97,849.5,461,"1,84,204","12,04,63,900.85","11,155"
02-Apr-24,EQ,649.75,673.9,647.65,649.75,662,654.15,651.66,849.5,461,"17,22,388","1,12,24,17,068.25","24,041"
01-Apr-24,EQ,643.25,653.6,641.6,640.05,648.65,649.75,648.41,849.5,461,"1,03,139","6,68,75,917.60","11,020"
28-Mar-24,EQ,626,658.9,625.95,626.1,641,640.05,644.94,849.5,436,"2,48,207","16,00,77,725.70","17,458"
27-Mar-24,EQ,640,642.8,622.1,639.95,630.6,626.1,631.92,849.5,436,"1,16,260","7,34,66,819.70","10,765"
26-Mar-24,EQ,638.1,650,627.8,638.1,635,639.95,638.98,849.5,436,"92,258","5,89,51,440.45","9,143"
22-Mar-24,EQ,637,650,633.1,637.4,640.15,638.1,642.1,849.5,436,"1,03,437","6,64,16,704.85","10,036"
21-Mar-24,EQ,638,644,630.4,630,635.3,637.4,636.69,849.5,436,"2,11,332","13,45,53,188.65","10,618"
20-Mar-24,EQ,639.75,647.55,626.5,639.75,630,630,631.05,849.5,436,"2,52,840","15,95,55,866.45","18,975"
19-Mar-24,EQ,650.65,650.65,636.45,647.4,636.75,639.75,643.1,849.5,436,"44,971","2,89,20,790.25","5,211"
18-Mar-24,EQ,667.05,667.95,645,667.05,647,647.4,652.95,849.5,436,"1,04,602","6,82,99,714.25","7,261"
15-Mar-24,EQ,682.9,684.75,654.3,690.15,664,667.05,673.98,849.5,436,"2,23,627","15,07,20,437.50","14,459"
14-Mar-24,EQ,639.95,699.5,635.05,650.35,693.5,690.15,671.4,849.5,436,"13,58,166","91,18,72,035.70","24,291"
13-Mar-24,EQ,660.85,669.4,646.4,660.8,650.05,650.35,650.85,849.5,436,"2,78,382","18,11,84,937.20","15,439"
12-Mar-24,EQ,654.5,669.05,647,654.65,660,660.8,660.22,849.5,436,"1,57,258","10,38,24,379.45","11,103"
11-Mar-24,EQ,667,667,650.2,667.5,656.5,654.65,652.84,849.5,436,"7,43,295","48,52,54,793.25","11,509"
07-Mar-24,EQ,660,671.25,656.8,665.9,667.7,667.5,665.24,849.5,436,"1,20,758","8,03,32,743.40","10,615"
06-Mar-24,EQ,690,693.85,650.25,689.65,666,665.9,662.69,849.5,436,"2,64,500","17,52,80,450.50","24,759"
05-Mar-24,EQ,698,700.5,670.05,696.8,693.1,689.65,684.23,849.5,436,"2,28,317","15,62,21,903.10","24,864"
04-Mar-24,EQ,716.55,719,692.15,716.55,695.95,696.8,700.1,849.5,436,"2,35,430","16,48,25,218.20","17,420"
02-Mar-24,EQ,716,720.8,709.95,709.35,715.05,716.55,716.2,849.5,436,"5,661","40,54,427.65",571
01-Mar-24,EQ,705.8,717.95,704.05,707.4,710.3,709.35,712.05,849.5,436,"43,122","3,07,05,211.85","6,101"
29-Feb-24,EQ,715.15,719,696.35,715.15,706.5,707.4,707.14,849.5,436,"1,30,426","9,22,30,034.55","12,325"
28-Feb-24,EQ,722.85,729.05,711.25,722.8,711.4,715.15,720.26,849.5,436,"85,994","6,19,38,406.40","8,944"
27-Feb-24,EQ,737,737,715.55,728.8,722.35,722.8,721.53,849.5,436,"68,528","4,94,44,963.85","8,150"
26-Feb-24,EQ,720.6,740,720.6,720.6,728,728.8,733.38,849.5,436,"1,26,762","9,29,64,589.40","10,911"
23-Feb-24,EQ,724.9,732.25,718.25,721.05,719,720.6,723.31,849.5,436,"54,280","3,92,61,432.40","6,561"
22-Feb-24,EQ,719,739.2,714.6,719.65,719.8,721.05,725.51,849.5,436,"80,630","5,84,98,225.45","8,156"
21-Feb-24,EQ,717.05,729.6,717,722.7,722.9,719.65,723.55,849.5,436,"53,872","3,89,78,998.65","7,863"
20-Feb-24,EQ,726.95,734,720.05,725.55,722.45,722.7,727.08,849.5,436,"51,550","3,74,81,111.80","6,873"
19-Feb-24,EQ,752.8,754.95,720,750.35,725.9,725.55,733.09,849.5,436,"1,40,382","10,29,12,989.60","15,438"
16-Feb-24,EQ,754.9,757.5,740.8,751.2,757.5,750.35,747.94,849.5,436,"89,837","6,71,92,782.25","9,474"
15-Feb-24,EQ,754,758.95,745,750.3,748.5,751.2,750.1,849.5,436,"61,234","4,59,31,528.65","6,905"
14-Feb-24,EQ,748.15,752.95,744.1,748.15,752.95,750.3,749.73,849.5,436,"71,711","5,37,64,135.90","10,513"
13-Feb-24,EQ,732.85,758,731.55,732.85,748,748.15,749.31,849.5,436,"2,43,100","18,21,57,917.30","17,493"
12-Feb-24,EQ,737.9,749.55,725.85,732.95,734,732.85,738.77,849.5,436,"1,91,194","14,12,48,038.30","14,781"
09-Feb-24,EQ,716.8,735,716.1,714.9,731,732.95,727.51,849.5,436,"2,06,141","14,99,69,726.80","15,197"
08-Feb-24,EQ,707.35,718.5,702,707.2,716,714.9,710.34,849.5,436,"1,60,369","11,39,16,291.55","11,633"
07-Feb-24,EQ,739.45,739.45,704.35,734.15,707.4,707.2,719.04,849.5,436,"2,78,884","20,05,29,502.75","22,340"
06-Feb-24,EQ,749.85,761.95,728.6,748.1,735.2,734.15,741.49,849.5,436,"3,28,461","24,35,51,881.80","22,008"
05-Feb-24,EQ,776,779,737,783,749.9,748.1,754.04,849.5,436,"3,55,523","26,80,79,757.00","25,639"
02-Feb-24,EQ,789.65,795.05,765,789.6,780,783,779.66,849.5,436,"3,81,546","29,74,76,552.60","27,626"
01-Feb-24,EQ,786.95,800,782,785.15,790,789.6,792.53,849.5,436,"1,53,641","12,17,65,526.50","9,483"
31-Jan-24,EQ,787.45,803.7,771.95,785.45,785,785.15,790.12,849.5,436,"1,65,632","13,08,69,295.10","10,569"
30-Jan-24,EQ,792,796.85,779.65,793.3,787.65,785.45,786.75,849.5,436,"1,59,708","12,56,50,913.85","9,995"
29-Jan-24,EQ,808,808,786.1,792.65,787.25,793.3,797.59,849.5,436,"1,98,388","15,82,32,625.85","17,356"
25-Jan-24,EQ,786,800,785.55,791.75,788,792.65,796.93,849.5,436,"1,31,213","10,45,67,115.15","13,309"
24-Jan-24,EQ,795,795,763.05,780.5,785.95,791.75,784.41,849.5,436,"1,39,975","10,97,97,998.05","20,853"
23-Jan-24,EQ,806,813.4,768.2,804.35,783.9,780.5,786.08,849.5,436,"2,22,541","17,49,34,497.00","17,906"
20-Jan-24,EQ,807.5,818.35,785.1,803.2,804.95,804.35,804.69,849.5,436,"3,06,245","24,64,32,141.20","15,367"
19-Jan-24,EQ,805.7,810,798,800.15,803,803.2,805.63,849.5,436,"3,99,618","32,19,45,102.95","17,698"
18-Jan-24,EQ,785.3,806.8,776.55,785.15,799.5,800.15,798.44,849.5,436,"11,75,099","93,82,43,411.60","38,568"
